game,"('⚽', 6.7077946401986965)"
carling,"('🇬🇧', 6.7077946401986965)"
mail,"('📰', 6.7077946401986965)"
background,"('🇬🇧', 6.7077946401986965)"
son,"('👦', 11.107794640198696)"
bought,"('🥈', 6.7077946401986965)"
card,"('💳', 6.7077946401986965)"
then,"('😣', 6.7077946401986965)"
fuming,"('😡', 6.7077946401986965)"
window,"('🛏', 6.7077946401986965)"
rage,"('😡', 6.7077946401986965)"
heroes,"('💂\u200d♂️', 13.415589280397393)"
blackpool,"('👨\u200d👩\u200d👧\u200d👦', 6.7077946401986965)"
mods,"('🇬🇧', 6.7077946401986965)"
cunt,"('👎🏻', 5.485402218862249)"
license,"('💳', 5.485402218862249)"
on,"('🚬', 5.485402218862249)"
cummy,"('😍', 125.88005227663017)"
patriotic,"('💂\u200d♂️', 6.485402218862249)"
again,"('👌🏼', 7.438404739325079)"
sweetie,"('😘', 7.438404739325079)"
i,"('😂', 26.900182837097063)"
hear,"('\U0001f92d', 7.438404739325079)"
you,"('\U0001f9dd🏻\u200d♀️', 7.438404739325079)"
sound,"('🔈', 7.438404739325079)"
my,"('🛩', 7.438404739325079)"
engine,"('😂', 7.438404739325079)"
girls,"('💁\u200d♀️', 7.0328900141647415)"
do,"('😍', 35.69584004400523)"
want,"('👍', 7.0328900141647415)"
to,"('😯', 10.554818109052103)"
become,"('💰', 7.0328900141647415)"
rich,"('💡', 7.0328900141647415)"
your,"('👩\u200d💼', 7.0328900141647415)"
own,"('💼', 7.0328900141647415)"
buisness,"('🏡', 7.0328900141647415)"
home,"('👆', 7.0328900141647415)"
only,"('📱', 7.0328900141647415)"
phone,"('🤷\u200d♀️', 7.0328900141647415)"
well,"('😂', 7.0328900141647415)"
go,"('👏', 7.0328900141647415)"
yourselves,"('🙌', 7.0328900141647415)"
tell,"('📢', 5.927920454563199)"
em,"('💪', 5.927920454563199)"
is,"('\U0001f9d0', 6.88650052718322)"
that,"('🤔', 17.596275531510152)"
shorthand,"('4️⃣', 6.88650052718322)"
bussy,"('🤤', 6.88650052718322)"
disrespect,"('‼', 5.872425341971495)"
get,"('😮', 4.287462841250339)"
ur,"('😠', 4.287462841250339)"
shitty,"('💩', 4.287462841250339)"
bot,"('🤖', 6.809390936137701)"
ass,"('🍑', 112.92303672600954)"
the,"('👉', 8.072425341971496)"
fuck,"('🔥', 12.842280950302445)"
offa,"('⤴', 4.287462841250339)"
board,"('🎯', 4.287462841250339)"
mistakes,"('😤', 4.447927513443585)"
suck,"('🤤', 3.5219280948873624)"
dick,"('🍆', 202.2106431869099)"
makes,"('🤤', 5.557552004618085)"
wet,"('💦', 11.986370695113964)"
farted,"('\U0001f92f', 8.45738784269265)"
shidded,"('🔥', 8.45738784269265)"
camed,"('🍆', 8.45738784269265)"
gaming,"('🎮', 7.548728154231077)"
monkeys,"('🙈', 13.702924464617952)"
lab,"('🌡', 7.548728154231077)"
us,"('😳', 7.548728154231077)"
noobs,"('😆', 7.548728154231077)"
back,"('😡', 6.154196310386875)"
cage,"('🔒', 6.154196310386875)"
code,"('🤓', 6.154196310386875)"
basically,"('😎', 5.244394119358455)"
im,"('🐵', 5.244394119358455)"
monky,"('🐒', 5.244394119358455)"
fetish,"('😩', 7.6838157772642575)"
tyronne,"('🐵', 5.057980995127572)"
here,"('🔙', 5.057980995127572)"
and,"('🌟', 12.356013078088099)"
polish,"('👞', 5.057980995127572)"
sorry,"('😔', 4.592317422778762)"
penis,"('😭', 6.007354922057604)"
chat,"('😂', 6.007354922057604)"
rotoary,"('💪🏼', 6.007354922057604)"
powwwwwwaaaaaaaaaa,"('🅱', 6.007354922057604)"
ni,"('⚠', 6.007354922057604)"
yin,"('‼', 6.007354922057604)"
power,"('💯', 6.007354922057604)"
got,"('‼', 6.007354922057604)"
boizz,"('💯', 6.007354922057604)"
pushing,"('\U0001f92f', 6.007354922057604)"
over,"('😤', 6.007354922057604)"
this,"('😭', 6.007354922057604)"
thoooo,"('‼', 6.007354922057604)"
swaps,"('👅', 6.007354922057604)"
poopra,"('😭', 6.007354922057604)"
nsx,"('🍙', 6.007354922057604)"
having,"('😍', 5.329283016944967)"
walky,"('🚶', 5.754588851677637)"
talky,"('🗣', 5.754588851677637)"
gone,"('☠', 5.754588851677637)"
soon,"('🔜', 5.754588851677637)"
f,"('⚰', 5.754588851677637)"
judge,"('👨\u200d⚖️', 13.927477006060396)"
me,"('💁', 7.369925001442312)"
wholesome,"('4️⃣', 3.5219280948873624)"
things,"('😏', 3.0073549220576044)"
for,"('😤', 3.0073549220576044)"
slag,"('👅', 8.711752653767379)"
whore,"('❣', 8.711752653767379)"
door,"('🤚', 8.711752653767379)"
anorexic,"('😾', 8.711752653767379)"
fat,"('💤', 8.711752653767379)"
